inventory_id,set_num,quantity
2514,4465-1,1
2514,4466-1,1
2514,4467-1,1
2514,4468-1,1
2514,4469-1,1
2514,4470-1,1
2514,4471-1,1
2514,4472-1,1
2544,41548-1,1
2544,41549-1,1
2544,41550-1,1
2559,7235-2,1
2559,7236-2,1
2559,7245-2,1
2559,7741-1,1
2577,4695-1,1
2577,4755-1,1
2636,7009-1,1
2636,7029-1,1
2636,7090-1,1
2636,7091-1,1
2636,7092-1,1
2636,7093-1,1
2636,7094-1,1
2643,4208-1,1
2643,4209-1,1
2643,4427-1,1
2648,7741-1,1
2648,7743-1,1
2648,7744-1,1
2677,4512-1,1
2677,4514-1,1
2723,7245-2,1
2723,7741-1,1
2725,60041-1,1
2725,60042-1,1
2725,60046-1,1
2738,4511-1,1
2738,4513-1,1
2793,8585-1,1
2793,8586-1,1
2814,2995-1,1
2814,2996-1,1
2836,6604-1,1
2836,6621-1,1
2836,6630-1,1
2849,6325-1,1
2849,6328-1,1
2849,6422-1,1
2849,6486-1,1
2849,6564-1,1
2849,6565-1,1
2892,8984-1,1
2892,8985-1,1
2892,8986-1,1
2892,8987-1,1
2892,8988-1,1
2892,8989-1,1
2898,3070-1,1
2898,3071-1,1
2898,3072-1,1
2898,3073-1,1
2915,4705-1,1
2915,4709-1,1
2915,4730-1,1
2916,6801-1,1
2916,6822-1,1
2916,6823-1,1
2943,4484-1,1
2943,4485-1,1
2943,4486-1,1
2943,4487-1,1
2948,1431-1,1
2948,1432-1,1
2948,1433-1,1
2948,1434-1,1
2989,20201-1,1
2989,20202-1,1
3044,2065-1,1
3044,2067-1,1
3053,7242-1,1
3053,7246-1,1
3053,7248-1,1
3092,6008-1,1
3092,6027-1,1
3092,6037-1,1
3109,7238-1,1
3109,7239-1,1
3109,7240-1,1
3109,7241-1,1
3110,9497-1,1
3110,9500-1,1
3152,8509-1,1
3152,8511-1,1
3152,8512-1,1
3152,8513-1,1
3152,8514-1,1
3260,3740-1,1
3260,3744-1,1
3271,71007-1,1
3271,71007-10,1
3271,71007-11,1
3271,71007-12,1
3271,71007-13,1
3271,71007-14,1
3271,71007-15,1
3271,71007-16,1
3271,71007-2,1
3271,71007-3,1
3271,71007-4,1
3271,71007-5,1
3271,71007-6,1
3271,71007-7,1
3271,71007-8,1
3271,71007-9,1
3284,8562-1,1
3284,8564-1,1
3284,8565-1,1
3292,8573-1,1
3292,8574-1,1
3292,8575-1,1
3292,8576-1,1
3292,8577-1,1
3292,8578-1,1
3309,8831-0,60
3313,7242-1,1
3313,7243-1,1
3313,7248-1,1
3313,7249-1,1
3339,7245-2,1
3339,7732-1,1
3339,8401-1,1
3343,8601-1,1
3343,8603-1,1
3344,9461-1,1
3344,9462-1,1
3344,9463-1,1
3344,9464-1,1
3344,9466-1,1
3344,9467-1,1
3344,9468-1,1
3351,8909-1,1
3351,8909-2,1
3351,8909-3,1
3351,8909-4,1
3351,8909-5,1
3351,8909-6,1
3351,8909-7,1
3351,8909-8,1
3351,8909-9,1
3365,fruit1-1,1
3365,fruit2-1,1
3365,fruit3-1,1
3365,fruit4-1,1
3365,fruit5-1,1
3365,fruit6-1,1
3365,fruit7-1,1
3365,fruit8-1,1
3367,1413-1,1
3367,1414-1,1
3367,1415-1,1
3367,1416-1,1
3392,8909-0,60
3422,3404-1,1
3435,8672-1,1
3435,8673-1,1
3467,3340-1,1
3467,3341-1,1
3467,3342-1,1
3467,3343-1,1
3550,8381-1,1
3550,8382-1,1
3574,WEETABIX2-1,1
3574,WEETABIX3-1,1
3574,WEETABIX4-1,1
3586,8566-1,1
3586,8567-1,1
3586,8568-1,1
3586,8570-1,1
3586,8571-1,1
3586,8572-1,1
3621,70410-1,1
3621,70412-1,1
3690,7957-1,1
3690,7961-1,1
3691,9440-1,1
3691,9441-1,1
3691,9444-1,1
3694,3741-1,1
3694,3742-1,1
3694,3747-1,1
3699,8772-1,1
3699,8774-1,1
3705,3804-1,1
3705,9738-1,1
3705,9916-1,1
3748,2584-1,1
3755,1528-1,1
3755,1572-1,1
3764,7207-1,1
3764,7213-1,1
3764,7241-1,1
3764,7942-1,1
3792,7121-1,1
3792,7161-1,1
3941,75000-1,1
3941,75003-1,1
3941,75014-1,1
3963,8736-1,1
3963,8737-1,1
3963,8738-1,1
3963,8739-1,1
3963,8740-1,1
3963,8741-1,1
3989,8587-1,1
3989,8591-1,1
4041,41551-1,1
4041,41552-1,1
4041,41553-1,1
4083,7142-1,1
4083,7152-1,1
4133,8804-0,60
4187,7890-1,1
4187,7892-1,1
4187,7902-1,1
4187,7903-1,1
4261,7238-1,1
4261,7239-1,2
4261,7942-1,1
4261,7944-1,1
4261,7945-1,1
4288,60004-1,1
4288,850618-1,1
4365,4335-1,1
4365,4346-1,1
4365,4347-1,1
4365,4348-1,1
4365,4349-1,1
4394,1974-2,1
4394,1974-3,1
4394,1974-4,1
4430,7235-1,1
4430,7236-1,1
4430,7238-1,1
4430,7241-1,1
4467,6824-1,1
4467,886-1,1
4467,889-1,1
4536,1421-1,1
4536,1422-1,1
4536,1423-1,1
4536,1424-1,1
4553,8978-1,1
4553,8979-1,1
4553,8980-1,1
4553,8981-1,1
4553,8982-1,1
4553,8983-1,1
4570,4210-1,1
4570,7736-1,1
4570,7737-1,1
4570,7738-1,1
4577,8727-1,1
4577,8728-1,1
4643,6407-1,1
4643,6554-1,1
4643,6564-1,1
4666,71008-0,60
4718,10081-1,1
4718,10082-1,1
4718,10083-1,1
4719,6900-1,1
4721,4679a-2,1
4721,4679b-2,1
4739,2143-1,1
4739,2145-1,1
4771,7630-1,1
4771,7633-1,1
4771,7990-1,1
4806,3740-1,1
4806,3745-1,1
4832,8782-1,1
4832,8786-1,1
4863,5515-1,1
4863,5537-1,1
4874,8581-1,1
4874,8582-1,1
4874,8583-1,1
4874,8584-1,1
4874,8585-1,1
4874,8586-1,1
4918,8779-1,1
4941,75037-1,1
4941,75038-1,1
4941,75045-1,1
4948,8509-1,1
4948,8510-1,1
4969,7043-1,1
4969,7238-1,1
4969,7239-1,1
4969,7240-1,1
4969,7241-1,1
4971,41044-1,1
4971,41045-1,1
4971,41046-1,1
4987,8684-1,1
4987,8684-10,1
4987,8684-11,1
4987,8684-12,1
4987,8684-13,1
4987,8684-14,1
4987,8684-15,1
4987,8684-16,1
4987,8684-2,1
4987,8684-3,1
4987,8684-4,1
4987,8684-5,1
4987,8684-6,1
4987,8684-7,1
4987,8684-8,1
4987,8684-9,1
4993,6814-1,1
4993,6879-1,1
4993,6898-1,1
5039,7422-1,1
5039,7423-1,1
5039,7424-1,1
5093,6271-1,1
5097,1794-1,1
5097,1795-1,1
5110,5610-1,1
5110,5612-1,1
5110,5613-1,1
5110,7236-1,1
5110,7630-1,1
5110,7942-1,1
5114,7690-1,1
5114,7691-1,1
5114,7692-1,1
5114,7693-1,1
5114,7694-1,1
5114,7695-1,1
5114,7697-1,1
5114,7699-1,1
5133,71004-1,1
5133,71004-10,1
5133,71004-11,1
5133,71004-12,1
5133,71004-13,1
5133,71004-14,1
5133,71004-15,1
5133,71004-16,1
5133,71004-2,1
5133,71004-3,1
5133,71004-4,1
5133,71004-5,1
5133,71004-6,1
5133,71004-7,1
5133,71004-8,1
5133,71004-9,1
5137,8614-1,1
5137,8615-1,1
5137,8616-1,1
5137,8617-1,1
5137,8618-1,1
5137,8619-1,1
5183,8910-1,1
5183,8911-1,1
5183,8912-1,1
5183,8913-1,1
5183,8914-1,1
5183,8915-1,1
5195,3740-1,1
5195,3742-1,1
5195,3743-1,1
5217,2854-1,1
5217,8202-1,1
5248,8100-1,1
5248,8101-1,1
5248,8102-1,1
5248,8103-1,1
5248,8104-1,1
5248,8105-1,1
5358,10158-1,2
5358,4511-1,1
5358,4515-2,1
5366,71001-1,1
5366,71001-10,1
5366,71001-11,1
5366,71001-12,1
5366,71001-13,1
5366,71001-14,1
5366,71001-15,1
5366,71001-16,1
5366,71001-19,1
5366,71001-2,1
5366,71001-3,1
5366,71001-4,1
5366,71001-5,1
5366,71001-6,1
5366,71001-7,1
5366,71001-8,1
5366,71001-9,1
5386,8831-1,1
5386,8831-10,1
5386,8831-11,1
5386,8831-12,1
5386,8831-13,1
5386,8831-14,1
5386,8831-15,1
5386,8831-16,1
5386,8831-2,1
5386,8831-3,1
5386,8831-4,1
5386,8831-5,1
5386,8831-6,1
5386,8831-7,1
5386,8831-8,1
5386,8831-9,1
5404,7958-1,1
5432,7410-1,1
5432,7411-1,1
5432,7414-1,1
5432,7418-1,1
5491,4512-1,1
5491,4514-1,1
5491,4515-2,1
5491,4520-2,1
5500,7308-1,1
5500,7309-1,1
5500,7311-1,1
5553,8803-0,60
5554,8804-1,1
5554,8804-10,1
5554,8804-11,1
5554,8804-12,1
5554,8804-13,1
5554,8804-14,1
5554,8804-15,1
5554,8804-16,1
5554,8804-2,1
5554,8804-3,1
5554,8804-4,1
5554,8804-5,1
5554,8804-6,1
5554,8804-7,1
5554,8804-8,1
5554,8804-9,1
5595,3344-1,1
5595,3345-1,1
5595,3346-1,1
5600,75899-1,1
5600,75908-1,1
5600,75909-1,1
5600,75910-1,1
5645,8742-1,1
5645,8743-1,1
5645,8744-1,1
5645,8745-1,1
5645,8746-1,1
5645,8747-1,1
5675,1196-1,1
5675,1197-1,1
5675,1198-1,1
5675,1199-1,1
5740,8380-1,1
5740,8384-1,1
5839,5529-2,1
5839,5573-2,1
5855,7509-1,1
5857,7208-1,1
5857,7239-1,1
5857,7241-1,1
5857,7942-1,1
5904,3177-1,1
5904,3179-1,1
5904,8401-1,1
5904,8402-1,1
5955,10049-1,1
5955,10072-1,1
5955,10074-1,1
5955,10076-1,1
5955,3804-1,1
5955,5225-1,1
5955,9738-1,1
5955,9916-1,1
5970,8929-1,1
5970,8930-1,1
5970,8931-1,1
5970,8932-1,1
5990,8106-1,1
5990,8107-1,1
5990,8108-1,1
6034,7514-1,1
6050,10132-1,1
6050,4515-2,1
6050,4520-2,1
6066,4431-1,1
6066,4432-1,1
6066,4433-1,1
6066,4435-1,1
6093,1547-1,1
6093,1596-1,1
6093,1624-1,1
6117,8645-1,1
6117,8646-1,1
6181,8008-1,1
6181,8010-1,1
6194,8688-1,1
6194,8689-1,1
6194,8941-1,1
6194,8942-1,1
6205,7741-1,1
6205,7890-1,1
6205,7942-1,1
6241,9798-1,1
6241,9833-2,1
6253,1278-1,1
6253,1279-1,1
6253,1280-1,1
6253,1281-1,1
6276,8047-1,1
6276,8065-1,1
6276,8067-1,1
6276,8069-1,1
6282,7238-1,1
6282,7906-1,1
6282,7942-1,1
6282,7944-1,1
6282,7945-1,1
6296,7236-2,1
6296,7741-1,1
6296,7942-1,1
6319,2063-1,1
6319,2065-1,1
6319,2067-1,1
6319,2068-1,1
6319,2141-1,1
6319,2142-1,1
6330,4515-1,3
6330,4520-1,2
6330,4531-1,2
6331,8721-1,1
6331,8722-1,1
6331,8723-1,1
6331,8724-1,1
6331,8725-1,1
6331,8726-1,1
6336,851097,1
6336,8758-1,1
6371,4479-1,1
6371,7146-1,1
6416,20206-1,1
6416,20207-1,1
6416,20208-1,1
6423,8560-1,1
6423,8561-1,1
6423,8564-1,1
6424,8380-1,1
6424,8383-1,1
6424,8384-1,1
6424,8385-1,1
6426,8801-1,1
6426,8802-1,1
6447,8925-1,1
6447,8926-1,1
6447,8927-1,1
6453,3066-1,1
6453,3067-1,1
6453,3068-1,1
6453,3069-1,1
6486,8791-1,1
6486,8795-1,1
6514,7413-1,1
6514,7416-1,1
6514,7419-1,1
6514,7420-1,1
6530,4436-1,1
6530,4437-1,1
6530,4439-1,1
6530,4441-1,1
6544,4721-1,1
6544,4726-1,1
6544,4727-1,1
6544,4731-1,1
6544,4735-1,1
6544,626-1,2
6572,7115-1,1
6572,7124-1,1
6572,7141-1,1
6733,5612-1,1
6733,7245-1,1
6733,7741-1,1
6733,7743-1,1
6733,7744-1,1
6791,70168-1,1
6791,70170-1,1
6795,7913-1,1
6795,7914-1,1
6795,8085-1,1
6839,7235-2,1
6839,7245-2,1
6839,7743-1,1
6848,4169306a-1,1
6848,4169306b-1,1
6848,4169306c-1,1
6871,41527-1,1
6871,41528-1,1
6871,41529-1,1
6871,41530-1,1
6871,41531-1,1
6871,41532-1,1
6871,41533-1,1
6871,41534-1,1
6871,41535-1,1
6877,7313-1,1
6877,7314-1,1
6877,7315-1,1
6877,7317-1,1
6990,5859-1,1
6990,5861-1,1
6990,5862-1,1
7051,3390-1,1
7142,3409-1,1
7151,3177-1,1
7151,7241-1,1
7151,7634-1,1
7151,7638-1,1
7187,3535-1,1
7187,3536-1,1
7187,3538-1,1
7201,7508-1,1
7209,7153-1,1
7261,4701-1,1
7261,4702-1,1
7261,4704-1,1
7261,4705-1,1
7261,4706-1,1
7261,4709-1,1
7261,4711-1,1
7277,41530-1,1
7277,41531-1,1
7277,41532-1,1
7278,9614-1,12
7286,7422-1,1
7286,7423-1,1
7286,7424-1,1
7348,3061-1,1
7348,3183-1,1
7348,3934-1,1
7348,3936-1,1
7391,10194-1,1
7391,8867-1,1
7391,8870-1,1
7391,8878-1,1
7391,8879-1,1
7391,8882-1,1
7391,8884-1,1
7391,8887-1,1
7430,2155-1,1
7430,2156-1,1
7430,2157-1,1
7430,2158-1,1
7474,10000-1,1
7474,10039-1,1
7474,3739-1,1
7478,8509-1,1
7478,8510-1,1
7482,4484-1,1
7482,4485-1,1
7482,4486-1,1
7482,4487-1,1
7487,3741-1,1
7487,3742-1,1
7487,3745-1,1
7516,3741-1,1
7516,3746-1,1
7524,7200-1,1
7524,7201-1,1
7524,7203-1,1
7524,7204-1,1
7562,9496-1,1
7562,9516-1,1
7618,8102-1,1
7618,8104-1,1
7670,8601-1,1
7670,8607-1,1
7703,7000-1,1
7703,7001-1,1
7703,7002-1,1
7703,7003-1,1
7707,8587-1,1
7707,8588-1,1
7709,8560-1,1
7709,8561-1,1
7709,8563-1,1
7743,6851-1,1
7743,6861-2,1
7743,6878-1,1
7743,6887-1,1
7745,3187-1,1
7745,3934-1,1
7745,3935-1,1
7766,5620-1,1
7766,7632-1,1
7766,7746-1,1
7766,7990-1,1
7766,8401-1,1
7774,6578-1,1
7774,6586-1,1
7805,70126-1,1
7805,70128-1,1
7805,70129-1,1
7805,70130-1,1
7805,70131-1,1
7874,3431-1,1
7902,1428-1,1
7902,1429-1,1
7902,1430-1,1
7929,8684-0,60
7933,3347-1,1
7933,3348-1,1
7933,3349-1,1
7944,7279-1,1
7944,7285-1,1
7944,7286-1,1
7944,7288-1,1
7944,7741-1,1
7971,1858-1,1
7971,6829-1,1
7971,6836-1,1
8019,7075-1,1
8019,7099-1,1
8025,8563-1,1
8025,8564-1,1
8025,8565-1,1
8071,5920-1,1
8071,5934-1,1
8071,5935-1,1
8091,8603-1,1
8091,8605-1,1
8091,8613-1,1
8159,79015-1,1
8159,79016-1,1
8159,79017-1,1
8159,79018-1,1
8202,10041-1,1
8202,1252-1,1
8202,1254-1,1
8202,1255-1,1
8216,4492-1,1
8216,4494-1,1
8216,7255-1,1
8222,5573-2,1
8222,5576-1,1
8226,6290-1,1
8226,6291-1,1
8226,6292-1,1
8285,4488-1,1
8285,4489-1,1
8285,4490-1,1
8285,4491-1,1
8312,8581-1,1
8312,8582-1,1
8331,8770-1,1
8331,8771-1,1
8334,9616-1,12
8398,7235-2,1
8398,7279-1,1
8398,7285-1,1
8398,7498-1,1
8401,7749-1,1
8401,8083-1,1
8401,8084-1,1
8425,1282-1,1
8425,1283-1,1
8425,1284-1,1
8425,1285-1,1
8440,1887-1,1
8440,1888-1,1
8440,1889-1,1
8440,1890-1,1
8465,8876-1,1
8471,8607-1,1
8471,8608-1,1
8471,8609-1,1
8471,8610-1,1
8471,8611-1,1
8471,8612-1,1
8491,70000-1,1
8491,70001-1,1
8491,70003-1,1
8501,8601-1,1
8501,8604-1,1
8501,8605-1,1
8558,3741-1,1
8558,3742-1,1
8558,3744-1,1
8585,8293-1,1
8585,9392-1,1
8585,9395-1,1
8617,9610-1,12
8646,4526-1,1
8646,4527-1,1
8646,4528-1,1
8734,71009-1,1
8734,71009-10,1
8734,71009-11,1
8734,71009-12,1
8734,71009-13,1
8734,71009-14,1
8734,71009-15,1
8734,71009-16,1
8734,71009-2,1
8734,71009-3,1
8734,71009-4,1
8734,71009-5,1
8734,71009-6,1
8734,71009-7,1
8734,71009-8,1
8734,71009-9,1
8749,8511-1,1
8749,8513-1,1
8759,8014-1,1
8759,8015-1,1
8759,8091-1,1
8782,71005-0,60
8837,3740-1,1
8837,3742-1,1
8837,3746-1,1
8871,8900-1,1
8871,8902-1,1
8871,8905-1,1
8885,4346-1,1
8885,4347-1,1
8885,4348-1,1
8885,4349-1,1
8909,8587-1,1
8909,8590-1,1
8909,8591-1,1
8918,1062-1,1
8918,1064-1,1
8918,k1062b,1
8918,pk1062,1
8950,6605-1,1
8950,6621-1,1
8950,6628-1,1
8980,8772-1,1
8980,8783-1,1
8997,10173-1,1
8997,4548-1,1
9033,71008-1,1
9033,71008-10,1
9033,71008-11,1
9033,71008-12,1
9033,71008-13,1
9033,71008-14,1
9033,71008-15,1
9033,71008-16,1
9033,71008-2,1
9033,71008-3,1
9033,71008-4,1
9033,71008-5,1
9033,71008-6,1
9033,71008-7,1
9033,71008-8,1
9033,71008-9,1
9094,8566-1,1
9094,8567-1,1
9123,5856-1,1
9123,5857-1,1
9123,5858-1,1
9132,1290-1,1
9132,1291-1,1
9132,1292-1,1
9132,1293-1,1
9149,7104-1,1
9149,7144-1,1
9178,7236-1,1
9178,7238-1,1
9178,7890-1,1
9178,7944-1,1
9210,6503-1,1
9210,6643-1,1
9253,9249-1,1
9253,9251-1,1
9283,9488-1,1
9283,9489-1,1
9283,9495-1,1
9329,60000-1,1
9329,60001-1,1
9329,60002-1,1
9381,8783-1,1
9381,8786-1,1
9386,41533-1,1
9386,41534-1,1
9386,41535-1,1
9406,7499-1,1
9406,7895-1,1
9406,7937-1,1
9406,7939-1,1
9412,7103-1,1
9412,7113-1,1
9426,7638-1,1
9426,7641-1,1
9426,7642-1,1
9426,7686-1,1
9426,8402-1,1
9443,7602-1,1
9443,7604-1,1
9443,7606-1,1
9443,7609-1,1
9443,7610-1,1
9443,7871-1,1
9443,7872-1,1
9443,7873-1,1
9443,7875-1,1
9471,7124-1,1
9471,7190-1,1
9471,7200-1,1
9502,7891-1,1
9502,7894-1,1
9502,7901-1,1
9502,7903-1,1
9540,3219-1,1
9540,4492-1,1
9540,4493-1,1
9540,4494-1,1
9540,4495-1,1
9620,8587-1,1
9620,8590-1,1
9620,8591-1,1
9624,71010-0,60
9657,1843-2,1
9657,1843-3,1
9665,8206-1,1
9665,8426-1,1
9665,8487-1,1
9678,8610-1,1
9678,8612-1,1
9678,8615-1,1
9678,8617-1,1
9678,8619-1,1
9691,6282-1,1
9691,6283-1,1
9700,8709-1,1
9700,8958-1,1
9700,8959-1,1
9708,6212-1,1
9708,66254-1,1
9709,2259-1,1
9709,2260-1,1
9709,2506-1,1
9728,3740-1,1
9728,3743-1,1
9730,20203-1,1
9730,20204-1,1
9730,20205-1,1
9749,5994-1,1
9749,5999-1,1
9750,10075-1,1
9750,1374-1,1
9750,1376-1,1
9765,71004-0,60
9830,4097-1,1
9830,4099-1,1
9904,20004-1,1
9905,8833-1,1
9905,8833-10,1
9905,8833-11,1
9905,8833-12,1
9905,8833-13,1
9905,8833-14,1
9905,8833-15,1
9905,8833-16,1
9905,8833-2,1
9905,8833-3,1
9905,8833-4,1
9905,8833-5,1
9905,8833-6,1
9905,8833-7,1
9905,8833-8,1
9905,8833-9,1
9925,3748-1,1
9925,4548-1,1
9925,5300-1,1
9943,4865-1,1
9943,4866-1,1
9943,4867-1,1
9955,4182-1,1
9955,4183-1,1
9960,71005-1,1
9960,71005-10,1
9960,71005-11,1
9960,71005-12,1
9960,71005-13,1
9960,71005-14,1
9960,71005-15,1
9960,71005-16,1
9960,71005-2,1
9960,71005-3,1
9960,71005-4,1
9960,71005-5,1
9960,71005-6,1
9960,71005-7,1
9960,71005-8,1
9960,71005-9,1
9991,9612-1,12
10014,8511-1,1
10014,8513-1,1
10028,7235-2,1
10028,7236-2,1
10028,7741-1,1
10028,7890-1,1
10028,7942-1,1
10028,7945-1,1
10043,7242-1,1
10043,7733-1,1
10043,7990-1,1
10043,7991-1,1
10052,71001-0,60
10089,4056-1,1
10089,4057-1,1
10089,4058-1,1
10089,4059-1,1
10089,4060-1,1
10089,4061-1,1
10089,4062-1,1
10089,4063-1,1
10089,4064-1,1
10089,4065-1,1
10089,4066-1,1
10089,4067-1,1
10089,4068-1,1
10089,4069-1,1
10089,4070-1,1
10089,4071-1,1
10089,4072-1,1
10089,4073-1,1
10089,4074-1,1
10089,4075-1,1
10089,4076-1,1
10089,4077-1,1
10089,4078-1,1
10089,4079-1,1
10158,10020-1,1
10158,10022-1,1
10158,10025-1,1
10158,4515-1,1
10158,4520-1,2
10158,4548-1,1
10180,7285-1,1
10180,7741-1,1
10227,1475-1,1
